Código Ámbito,Ámbito,Código área,Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
QV,Valor de la Producción Agrícola,9,Argentina,55,Producción Bruta 2014-2016 (miles ML),572,Aguacates,2015,2015,1000 SLC,3158,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,55,Producción Bruta 2014-2016 (miles ML),572,Aguacates,2016,2016,1000 SLC,3188,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,55,Producción Bruta 2014-2016 (miles ML),572,Aguacates,2017,2017,1000 SLC,3206,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,55,Producción Bruta 2014-2016 (miles ML),572,Aguacates,2018,2018,1000 SLC,3224,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,55,Producción Bruta 2014-2016 (miles ML),572,Aguacates,2019,2019,1000 SLC,3241,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,57,Producción Bruta (miles US$),572,Aguacates,2015,2015,1000 US$,300,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,57,Producción Bruta (miles US$),572,Aguacates,2016,2016,1000 US$,217,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,57,Producción Bruta (miles US$),572,Aguacates,2017,2017,1000 US$,189,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,57,Producción Bruta (miles US$),572,Aguacates,2018,2018,1000 US$,118,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,58,Gross Production Value (constant 2014-2016 thousand US$),572,Aguacates,2015,2015,1000 US$,318,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,58,Gross Production Value (constant 2014-2016 thousand US$),572,Aguacates,2016,2016,1000 US$,321,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,58,Gross Production Value (constant 2014-2016 thousand US$),572,Aguacates,2017,2017,1000 US$,322,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,58,Gross Production Value (constant 2014-2016 thousand US$),572,Aguacates,2018,2018,1000 US$,324,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,58,Gross Production Value (constant 2014-2016 thousand US$),572,Aguacates,2019,2019,1000 US$,326,Fc,Datos calculados
QV,Valor de la Producción Agrícola,9,Argentina,152,Producción Bruta 2014-2016 (miles I$),406,Ajo,2015,2015,1000 Int. $,107246,Fc,Datos calculados
